_id,reactant,product,reaction,condition,template_r0,template_r1
386,CC(C)(C)O.CCI,CC(C)(C)OCC,[CH3:1][C:2]([CH3:3])([CH3:4])[OH:5].[CH3:7][CH2:6]I>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][CH2:6][CH3:7],Base,[CH2;D2;+0:1]-[O;H0;D2;+0:2]>>I-[CH2;D2;+0:1].[OH;D1;+0:2],[C;D1;H3:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[O;H0;D2;+0:7]-[CH2;D2;+0:1]-[C;D1;H3:2]>>I-[CH2;D2;+0:1]-[C;D1;H3:2].[C;D1;H3:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[OH;D1;+0:7]
387,CO.CC(C)I,COC(C)C,[CH3:1][OH:2].[CH3:5][CH:3]([CH3:4])I>>[CH3:1][O:2][CH:3]([CH3:4])[CH3:5],Base,[CH;D3;+0:1]-[O;H0;D2;+0:2]>>I-[CH;D3;+0:1].[OH;D1;+0:2],[C;D1;H3:4]-[O;H0;D2;+0:5]-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>I-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[C;D1;H3:4]-[OH;D1;+0:5]
388,CCO.CC(C)I,CCOC(C)C,[CH3:1][CH2:2][OH:3].[CH3:6][CH:4]([CH3:5])I>>[CH3:1][CH2:2][O:3][CH:4]([CH3:5])[CH3:6],Base,[CH;D3;+0:1]-[O;H0;D2;+0:2]>>I-[CH;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>I-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[C:4]-[OH;D1;+0:5]
389,CC(C)O.CC(C)I,CC(C)OC(C)C,[CH3:1][CH:2]([CH3:3])[OH:4].[CH3:7][CH:5]([CH3:6])I>>[CH3:1][CH:2]([CH3:3])[O:4][CH:5]([CH3:6])[CH3:7],Base,[CH;D3;+0:1]-[O;H0;D2;+0:2]>>I-[CH;D3;+0:1].[OH;D1;+0:2],[C:4]-[O;H0;D2;+0:5]-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>I-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[C:4]-[OH;D1;+0:5]
390,CC(C)(C)O.CC(C)I,CC(C)(C)OC(C)C,[CH3:1][C:2]([CH3:3])([CH3:4])[OH:5].[CH3:7][CH:6]([CH3:8])I>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][CH:6]([CH3:7])[CH3:8],Base,[CH;D3;+0:1]-[O;H0;D2;+0:2]>>I-[CH;D3;+0:1].[OH;D1;+0:2],[C;D1;H3:4]-[C:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[O;H0;D2;+0:8]-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3]>>I-[CH;D3;+0:1](-[C;D1;H3:2])-[C;D1;H3:3].[C;D1;H3:4]-[C:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[OH;D1;+0:8]
391,CC1OC1.O,CC(O)CO,[CH3:1][CH:2]1[O:3][CH2:4]1.[OH2:5]>>[CH3:1][CH:2]([OH:3])[CH2:4][OH:5],H+,[CH2;D2;+0:1]-[OH;D1;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH2;D0;+0:3],[OH;D1;+0:3]-[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[OH2;D0;+0:4]
392,CC1(C)OC1.O,CC(C)(O)CO,[CH3:1][C:2]1([CH3:3])[O:4][CH2:5]1.[OH2:6]>>[CH3:1][C:2]([CH3:3])([OH:4])[CH2:5][OH:6],H+,[CH2;D2;+0:1]-[OH;D1;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH2;D0;+0:3],[OH;D1;+0:3]-[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[OH2;D0;+0:4]
393,C1OC1.O,OCCO,[CH2:2]1[O:1][CH2:3]1.[OH2:4]>>[OH:1][CH2:2][CH2:3][OH:4],H+,[CH2;D2;+0:1]-[OH;D1;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH2;D0;+0:3],[OH;D1;+0:3]-[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[OH2;D0;+0:4]
394,CC1(C)OC1C.O,CC(C)(O)C(C)O,[CH3:1][C:2]1([CH3:3])[O:4][CH:5]1[CH3:6].[OH2:7]>>[CH3:1][C:2]([CH3:3])([OH:4])[CH:5]([CH3:6])[OH:7],H+,[CH;D3;+0:1]-[OH;D1;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH2;D0;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[OH;D1;+0:5])-[C:3]-[OH;D1;+0:4]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[OH2;D0;+0:5]
395,CC1(C)OC1(C)C.O,CC(C)(O)C(C)(C)O,[CH3:1][C:2]1([CH3:3])[O:8][C:5]1([CH3:6])[CH3:7].[OH2:4]>>[CH3:1][C:2]([CH3:3])([OH:4])[C:5]([CH3:6])([CH3:7])[OH:8],H+,[C;H0;D4;+0:1]-[OH;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH2;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[OH;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[OH2;D0;+0:6]
396,CC1(C)OC1.O,CC(C)(O)CO,[CH3:1][C:2]1([CH3:3])[O:4][CH2:5]1.[OH2:6]>>[CH3:1][C:2]([CH3:3])([OH:4])[CH2:5][OH:6],H+,[CH2;D2;+0:1]-[OH;D1;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[OH2;D0;+0:3],[OH;D1;+0:3]-[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[OH2;D0;+0:4]
397,CC1OC1.OC,CC(OC)CO,[CH3:1][CH:2]1[O:6][CH2:5]1.[OH:3][CH3:4]>>[CH3:1][CH:2]([O:3][CH3:4])[CH2:5][OH:6],H+,[CH;D3;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[C:3]-[OH;D1;+0:4])-[O;H0;D2;+0:6]-[C;D1;H3:5]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[C;D1;H3:5]-[OH;D1;+0:6]
398,CC1(C)OC1.OC,CC(C)(OC)CO,[CH3:1][C:2]1([CH3:3])[O:4][CH2:6]1.[OH:7][CH3:5]>>[CH3:1][C:2]([CH3:3])([O:4][CH3:5])[CH2:6][OH:7],H+,[CH2;D2;+0:1]-[OH;D1;+0:4].[CH3;D1;+0:3]-[O;H0;D2;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[CH3;D1;+0:3]-[OH;D1;+0:4],[CH3;D1;+0:1]-[O;H0;D2;+0:5]-[C:3]-[CH2;D2;+0:4]-[OH;D1;+0:2]>>[CH3;D1;+0:1]-[OH;D1;+0:2].[C:3]1-[CH2;D2;+0:4]-[O;H0;D2;+0:5]-1
399,C1OC1.OC,OCCOC,[CH2:3]1[O:4][CH2:5]1.[OH:1][CH3:2]>>[OH:1][CH2:2][CH2:3][O:4][CH3:5],H+,[CH2;D2;+0:3]-[CH2;D2;+0:1].[CH3;D1;+0:2]>>[CH2;D2;+0:1]-[CH2;D2;+0:2].[CH3;D1;+0:3],[CH3;D1;+0:3]-[#8:1]-[CH2;D2;+0:2]-[CH2;D2;+0:4]-[O;D1;H1:5]>>[#8:1]1-[CH2;D2;+0:2]-[CH2;D2;+0:3]-1.[CH3;D1;+0:4]-[O;D1;H1:5]
400,CC1(C)OC1C.OC,CC(C)(OC)C(C)O,[CH3:1][C:2]1([CH3:3])[O:4][CH:6]1[CH3:7].[OH:8][CH3:5]>>[CH3:1][C:2]([CH3:3])([O:4][CH3:5])[CH:6]([CH3:7])[OH:8],H+,[CH3;D1;+0:1]-[O;H0;D2;+0:4].[CH;D3;+0:3]-[OH;D1;+0:2]>>[CH3;D1;+0:1]-[OH;D1;+0:2].[CH;D3;+0:3]-[O;H0;D2;+0:4],[C;D1;H3:1]-[CH;D3;+0:2](-[OH;D1;+0:6])-[C:3]-[O;H0;D2;+0:4]-[CH3;D1;+0:5]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[CH3;D1;+0:5]-[OH;D1;+0:6]
401,CC1(C)OC1(C)C.OC,CC(C)(OC)C(C)(C)O,[CH3:1][C:2]1([CH3:3])[O:9][C:6]1([CH3:7])[CH3:8].[OH:4][CH3:5]>>[CH3:1][C:2]([CH3:3])([O:4][CH3:5])[C:6]([CH3:7])([CH3:8])[OH:9],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C:4]-[OH;D1;+0:5])-[O;H0;D2;+0:7]-[C;D1;H3:6]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C;D1;H3:6]-[OH;D1;+0:7]
402,CC1(C)OC1.OC,CC(C)(OC)CO,[CH3:1][C:2]1([CH3:3])[O:4][CH2:6]1.[OH:7][CH3:5]>>[CH3:1][C:2]([CH3:3])([O:4][CH3:5])[CH2:6][OH:7],H+,[CH2;D2;+0:1]-[OH;D1;+0:4].[CH3;D1;+0:3]-[O;H0;D2;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[CH3;D1;+0:3]-[OH;D1;+0:4],[CH3;D1;+0:1]-[O;H0;D2;+0:5]-[C:3]-[CH2;D2;+0:4]-[OH;D1;+0:2]>>[CH3;D1;+0:1]-[OH;D1;+0:2].[C:3]1-[CH2;D2;+0:4]-[O;H0;D2;+0:5]-1
403,CC1OC1.Br,CC(Br)CO,[CH3:1][CH:2]1[O:5][CH2:4]1.[BrH:3]>>[CH3:1][CH:2]([Br:3])[CH2:4][OH:5],H+,[Br;H0;D1;+0:1]-[CH;D3;+0:2].[OH;D1;+0:3]>>[BrH;D0;+0:1].[CH;D3;+0:2]-[O;H0;D2;+0:3],[Br;H0;D1;+0:1]-[CH;D3;+0:3](-[C;D1;H3:2])-[C:4]-[OH;D1;+0:5]>>[BrH;D0;+0:1].[C;D1;H3:2]-[CH;D3;+0:3]1-[C:4]-[O;H0;D2;+0:5]-1
404,CC1(C)OC1.Br,CC(C)(Br)CO,[CH3:1][C:2]1([CH3:3])[O:6][CH2:5]1.[BrH:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[CH2:5][OH:6],H+,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2].[OH;D1;+0:3]>>[BrH;D0;+0:1].[C;H0;D4;+0:2]-[O;H0;D2;+0:3],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[C:5]-[OH;D1;+0:6]>>[BrH;D0;+0:1].[C;D1;H3:2]-[C;H0;D4;+0:3]1(-[C;D1;H3:4])-[C:5]-[O;H0;D2;+0:6]-1
405,C1OC1.Br,OCCBr,[CH2:3]1[O:1][CH2:2]1.[BrH:4]>>[OH:1][CH2:2][CH2:3][Br:4],H+,[Br;H0;D1;+0:1]-[CH2;D2;+0:2].[OH;D1;+0:3]>>[BrH;D0;+0:1].[CH2;D2;+0:2]-[O;H0;D2;+0:3],[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[C:2]-[OH;D1;+0:4]>>[BrH;D0;+0:1].[C:2]1-[CH2;D2;+0:3]-[O;H0;D2;+0:4]-1
406,CC1(C)OC1C.Br,CC(C)(Br)C(C)O,[CH3:1][C:2]1([CH3:3])[O:7][CH:5]1[CH3:6].[BrH:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[CH:5]([CH3:6])[OH:7],H+,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2].[OH;D1;+0:3]>>[BrH;D0;+0:1].[C;H0;D4;+0:2]-[O;H0;D2;+0:3],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[C:5]-[OH;D1;+0:6]>>[BrH;D0;+0:1].[C;D1;H3:2]-[C;H0;D4;+0:3]1(-[C;D1;H3:4])-[C:5]-[O;H0;D2;+0:6]-1
407,CC1(C)OC1(C)C.Br,CC(C)(Br)C(C)(C)O,[CH3:6][C:5]1([CH3:7])[O:8][C:2]1([CH3:3])[CH3:1].[BrH:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[C:5]([CH3:6])([CH3:7])[OH:8],H+,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2].[OH;D1;+0:3]>>[BrH;D0;+0:1].[C;H0;D4;+0:2]-[O;H0;D2;+0:3],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[C:5]-[OH;D1;+0:6]>>[BrH;D0;+0:1].[C;D1;H3:2]-[C;H0;D4;+0:3]1(-[C;D1;H3:4])-[C:5]-[O;H0;D2;+0:6]-1
408,CC1(C)OC1.Br,CC(C)(Br)CO,[CH3:1][C:2]1([CH3:3])[O:6][CH2:5]1.[BrH:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[CH2:5][OH:6],H+,[Br;H0;D1;+0:1]-[C;H0;D4;+0:2].[OH;D1;+0:3]>>[BrH;D0;+0:1].[C;H0;D4;+0:2]-[O;H0;D2;+0:3],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[C:5]-[OH;D1;+0:6]>>[BrH;D0;+0:1].[C;D1;H3:2]-[C;H0;D4;+0:3]1(-[C;D1;H3:4])-[C:5]-[O;H0;D2;+0:6]-1
409,CC1OC1.Cl,CC(Cl)CO,[CH3:1][CH:2]1[O:5][CH2:4]1.[ClH:3]>>[CH3:1][CH:2]([Cl:3])[CH2:4][OH:5],H+,[CH;D3;+0:1]-[Cl;H0;D1;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[ClH;D0;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[Cl;H0;D1;+0:5])-[C:3]-[OH;D1;+0:4]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[ClH;D0;+0:5]
410,CC1(C)OC1.Cl,CC(C)(Cl)CO,[CH3:1][C:2]1([CH3:3])[O:6][CH2:5]1.[ClH:4]>>[CH3:1][C:2]([CH3:3])([Cl:4])[CH2:5][OH:6],H+,[C;H0;D4;+0:1]-[Cl;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[ClH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[Cl;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[ClH;D0;+0:6]
411,C1OC1.Cl,OCCCl,[CH2:3]1[O:1][CH2:2]1.[ClH:4]>>[OH:1][CH2:2][CH2:3][Cl:4],H+,[CH2;D2;+0:1]-[Cl;H0;D1;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[ClH;D0;+0:3],[Cl;H0;D1;+0:4]-[CH2;D2;+0:2]-[C:1]-[OH;D1;+0:3]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[ClH;D0;+0:4]
412,CC1(C)OC1C.Cl,CC(C)(Cl)C(C)O,[CH3:1][C:2]1([CH3:3])[O:7][CH:5]1[CH3:6].[ClH:4]>>[CH3:1][C:2]([CH3:3])([Cl:4])[CH:5]([CH3:6])[OH:7],H+,[C;H0;D4;+0:1]-[Cl;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[ClH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[Cl;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[ClH;D0;+0:6]
413,CC1(C)OC1(C)C.Cl,CC(C)(Cl)C(C)(C)O,[CH3:6][C:5]1([CH3:7])[O:8][C:2]1([CH3:1])[CH3:3].[ClH:4]>>[CH3:1][C:2]([CH3:3])([Cl:4])[C:5]([CH3:6])([CH3:7])[OH:8],H+,[C;H0;D4;+0:1]-[Cl;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[ClH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[Cl;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[ClH;D0;+0:6]
414,CC1(C)OC1.Cl,CC(C)(Cl)CO,[CH3:1][C:2]1([CH3:3])[O:6][CH2:5]1.[ClH:4]>>[CH3:1][C:2]([CH3:3])([Cl:4])[CH2:5][OH:6],H+,[C;H0;D4;+0:1]-[Cl;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[ClH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[Cl;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[ClH;D0;+0:6]
415,CC1OC1.I,CC(I)CO,[CH3:1][CH:2]1[O:5][CH2:4]1.[IH:3]>>[CH3:1][CH:2]([I:3])[CH2:4][OH:5],H+,[CH;D3;+0:1]-[I;H0;D1;+0:3].[OH;D1;+0:2]>>[CH;D3;+0:1]-[O;H0;D2;+0:2].[IH;D0;+0:3],[C;D1;H3:1]-[CH;D3;+0:2](-[I;H0;D1;+0:5])-[C:3]-[OH;D1;+0:4]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[C:3]-[O;H0;D2;+0:4]-1.[IH;D0;+0:5]
416,CC1(C)OC1.I,CC(C)(I)CO,[CH3:1][C:2]1([CH3:3])[O:6][CH2:5]1.[IH:4]>>[CH3:1][C:2]([CH3:3])([I:4])[CH2:5][OH:6],H+,[C;H0;D4;+0:1]-[I;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[IH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[I;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[IH;D0;+0:6]
417,C1OC1.I,OCCI,[CH2:2]1[O:1][CH2:3]1.[IH:4]>>[OH:1][CH2:2][CH2:3][I:4],H+,[CH2;D2;+0:1]-[I;H0;D1;+0:3].[OH;D1;+0:2]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[IH;D0;+0:3],[I;H0;D1;+0:4]-[CH2;D2;+0:2]-[C:1]-[OH;D1;+0:3]>>[C:1]1-[CH2;D2;+0:2]-[O;H0;D2;+0:3]-1.[IH;D0;+0:4]
418,CC1(C)OC1C.I,CC(C)(I)C(C)O,[CH3:1][C:2]1([CH3:3])[O:7][CH:5]1[CH3:6].[IH:4]>>[CH3:1][C:2]([CH3:3])([I:4])[CH:5]([CH3:6])[OH:7],H+,[C;H0;D4;+0:1]-[I;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[IH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[I;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[IH;D0;+0:6]
419,CC1(C)OC1(C)C.I,CC(C)(I)C(C)(C)O,[CH3:6][C:5]1([CH3:7])[O:8][C:2]1([CH3:3])[CH3:1].[IH:4]>>[CH3:1][C:2]([CH3:3])([I:4])[C:5]([CH3:6])([CH3:7])[OH:8],H+,[C;H0;D4;+0:1]-[I;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[IH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[I;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[IH;D0;+0:6]
420,CC1(C)OC1.I,CC(C)(I)CO,[CH3:1][C:2]1([CH3:3])[O:6][CH2:5]1.[IH:4]>>[CH3:1][C:2]([CH3:3])([I:4])[CH2:5][OH:6],H+,[C;H0;D4;+0:1]-[I;H0;D1;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[IH;D0;+0:3],[C;D1;H3:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[I;H0;D1;+0:6])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[IH;D0;+0:6]
421,CC1OC1.OCC,CC(OCC)CO,[CH3:1][CH:2]1[O:3][CH2:4]1.[OH:7][CH2:6][CH3:5]>>[CH3:1][CH:2]([O:3][CH2:4][CH3:5])[CH2:6][OH:7],H+,[CH2;D2;+0:3]-[CH3;D1;+0:2].[CH2;D2;+0:1]-[CH;D3;+0:4]>>[CH2;D2;+0:1]-[CH3;D1;+0:2].[CH2;D2;+0:3]-[CH;D3;+0:4],[C;D1;H3:1]-[CH;D3;+0:2](-[#8:3]-[CH2;D2;+0:4]-[CH3;D1;+0:5])-[CH2;D2;+0:6]-[O;D1;H1:7]>>[C;D1;H3:1]-[CH;D3;+0:2]1-[#8:3]-[CH2;D2;+0:4]-1.[CH3;D1;+0:5]-[CH2;D2;+0:6]-[O;D1;H1:7]
422,CC1(C)OC1.OCC,CC(C)(OCC)CO,[CH3:1][C:2]1([CH3:3])[O:4][CH2:7]1.[OH:8][CH2:5][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][CH2:5][CH3:6])[CH2:7][OH:8],H+,[CH2;D2;+0:3]-[O;H0;D2;+0:2].[CH2;D2;+0:1]-[OH;D1;+0:4]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[CH2;D2;+0:3]-[OH;D1;+0:4],[C;D1;H3:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:6]-[C:4]-[CH2;D2;+0:5]-[OH;D1;+0:3]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[OH;D1;+0:3].[C:4]1-[CH2;D2;+0:5]-[O;H0;D2;+0:6]-1
423,C1OC1.OCC,OCCOCC,[CH2:3]1[O:4][CH2:5]1.[OH:1][CH2:2][CH3:6]>>[OH:1][CH2:2][CH2:3][O:4][CH2:5][CH3:6],H+,[CH2;D2;+0:3]-[CH2;D2;+0:1].[CH2;D2;+0:2]-[CH3;D1;+0:4]>>[CH2;D2;+0:1]-[CH2;D2;+0:2].[CH2;D2;+0:3]-[CH3;D1;+0:4],[CH3;D1;+0:4]-[CH2;D2;+0:3]-[#8:1]-[CH2;D2;+0:2]-[CH2;D2;+0:5]-[O;D1;H1:6]>>[#8:1]1-[CH2;D2;+0:2]-[CH2;D2;+0:3]-1.[CH3;D1;+0:4]-[CH2;D2;+0:5]-[O;D1;H1:6]
424,CC1(C)OC1C.OCC,CC(C)(OCC)C(C)O,[CH3:1][C:2]1([CH3:3])[O:9][CH:7]1[CH3:8].[OH:4][CH2:5][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][CH2:5][CH3:6])[CH:7]([CH3:8])[OH:9],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:6]-[O;H0;D2;+0:7]-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C:6]-[OH;D1;+0:7]
425,CC1(C)OC1(C)C.OCC,CC(C)(OCC)C(C)(C)O,[CH3:8][C:7]1([CH3:9])[O:10][C:2]1([CH3:3])[CH3:1].[OH:4][CH2:5][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][CH2:5][CH3:6])[C:7]([CH3:8])([CH3:9])[OH:10],H+,[C;H0;D4;+0:1]-[O;H0;D2;+0:3].[OH;D1;+0:2]>>[C;H0;D4;+0:1]-[O;H0;D2;+0:2].[OH;D1;+0:3],[C:6]-[O;H0;D2;+0:7]-[C;H0;D4;+0:2](-[C;D1;H3:1])(-[C;D1;H3:3])-[C:4]-[OH;D1;+0:5]>>[C;D1;H3:1]-[C;H0;D4;+0:2]1(-[C;D1;H3:3])-[C:4]-[O;H0;D2;+0:5]-1.[C:6]-[OH;D1;+0:7]
426,CC1(C)OC1.OCC,CC(C)(OCC)CO,[CH3:1][C:2]1([CH3:3])[O:4][CH2:7]1.[OH:8][CH2:5][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][CH2:5][CH3:6])[CH2:7][OH:8],H+,[CH2;D2;+0:3]-[O;H0;D2;+0:2].[CH2;D2;+0:1]-[OH;D1;+0:4]>>[CH2;D2;+0:1]-[O;H0;D2;+0:2].[CH2;D2;+0:3]-[OH;D1;+0:4],[C;D1;H3:1]-[CH2;D2;+0:2]-[O;H0;D2;+0:6]-[C:4]-[CH2;D2;+0:5]-[OH;D1;+0:3]>>[C;D1;H3:1]-[CH2;D2;+0:2]-[OH;D1;+0:3].[C:4]1-[CH2;D2;+0:5]-[O;H0;D2;+0:6]-1
