_id,reactant,product,reaction,condition,template_r0,template_r1
39,CC(C)=C.BrBr.OC,CC(C)(OC)CBr,[CH3:1][C:2]([CH3:3])=[CH2:6].[Br:7]Br.[OH:4][CH3:5]>>[CH3:1][C:2]([CH3:3])([O:4][CH3:5])[CH2:6][Br:7],,[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[C;H0;D4;+0:2]-[O;H0;D2;+0:4]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH2;D1;+0:3].[OH;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[O;H0;D2;+0:7]-[C;D1;H3:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH2;D1;+0:5].[C;D1;H3:6]-[OH;D1;+0:7]
40,CC(C)=C.BrBr.O,CC(C)(O)CBr,[CH3:1][C:2]([CH3:3])=[CH2:5].[Br:6]Br.[OH2:4]>>[CH3:1][C:2]([CH3:3])([OH:4])[CH2:5][Br:6],,[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[C;H0;D4;+0:2]-[OH;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH2;D1;+0:3].[OH2;D0;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[OH;D1;+0:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH2;D1;+0:5].[OH2;D0;+0:6]
41,C=C.BrBr.[Na+].[Cl-],ClCCBr,[CH2:2]=[CH2:3].[Br:4]Br.[Na+].[Cl-:1]>>[Cl:1][CH2:2][CH2:3][Br:4],"Br2,NaCl",[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[Cl;H0;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[Cl-;H0;D0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[Cl;H0;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[Cl-;H0;D0:4]
42,C=C.BrBr.CO,COCCBr,[CH2:3]=[CH2:4].[Br:5]Br.[CH3:1][OH:2]>>[CH3:1][O:2][CH2:3][CH2:4][Br:5],"Br2,CH3OH",[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[O;H0;D2;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[OH;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[CH2;D2;+0:4]-[O;H0;D2;+0:3]-[C;D1;H3:2]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[OH;D1;+0:3].[CH2;D1;+0:4]=[CH2;D1;+0:5]
43,C=C.O.Br,OCCBr,[CH2:2]=[CH2:3].[OH2:1].[BrH:4]>>[OH:1][CH2:2][CH2:3][Br:4],"Br2,H2O",[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[OH2;D0;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[OH2;D0;+0:4]
44,C=C.BrBr,BrCCBr,[CH2:2]=[CH2:3].[Br:1][Br:4]>>[Br:1][CH2:2][CH2:3][Br:4],Br2,[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[CH2;D1;+0:3]=[CH2;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[CH2;D1;+0:3]=[CH2;D1;+0:4]
45,CC(C)=C.BrBr.OCC,CC(C)(OCC)CBr,[CH3:7][C:2]([CH3:3])=[CH2:1].[Br:8]Br.[OH:4][CH2:5][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][CH2:5][CH3:6])[CH2:7][Br:8],,[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[C;H0;D4;+0:3](-[CH3;D1;+0:2])-[O;H0;D2;+0:5]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[C;H0;D3;+0:3]-[CH3;D1;+0:4].[OH;D1;+0:5],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[CH3;D1;+0:4])-[O;H0;D2;+0:7]-[C:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](=[CH2;D1;+0:4])-[CH3;D1;+0:5].[C:6]-[OH;D1;+0:7]
46,CC(C)=C.BrBr.OC(C)C,CC(C)(OC(C)C)CBr,[CH3:8][C:2]([CH3:3])=[CH2:1].[Br:9]Br.[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][CH:5]([CH3:6])[CH3:7])[CH2:8][Br:9],,[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[C;H0;D4;+0:3](-[CH3;D1;+0:2])-[O;H0;D2;+0:5]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[C;H0;D3;+0:3]-[CH3;D1;+0:4].[OH;D1;+0:5],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[CH3;D1;+0:4])-[O;H0;D2;+0:7]-[C:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](=[CH2;D1;+0:4])-[CH3;D1;+0:5].[C:6]-[OH;D1;+0:7]
47,C=CC=C.Br,CC=CCBr,[CH2:4]=[CH:3][CH:2]=[CH2:1].[BrH:5]>>[CH3:1][CH:2]=[CH:3][CH2:4][Br:5],"HBr,40℃",[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[CH;D2;+0:4]=[CH;D2;+0:3]-[CH3;D1;+0:2]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3]-[CH;D2;+0:4]=[CH2;D1;+0:5],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[CH;D2;+0:4]=[CH;D2;+0:3]-[CH3;D1;+0:2]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3]-[CH;D2;+0:4]=[CH2;D1;+0:5]
48,[Mg].CC(C)(C)Br,CC(C)(C)[Mg]Br,[Mg:5].[CH3:1][C:2]([CH3:3])([CH3:4])[Br:6]>>[CH3:1][C:2]([CH3:3])([CH3:4])[Mg:5][Br:6],无水乙醚,[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[C;H0;D4;+0:2]>>[Br;H0;D1;+0:1]-[C;H0;D4;+0:2].[Mg;H0;D0;+0:3],[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:6]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[C;D1;H3:5]>>[Br;H0;D1;+0:1]-[C;H0;D4;+0:2](-[C;D1;H3:3])(-[C;D1;H3:4])-[C;D1;H3:5].[Mg;H0;D0;+0:6]
49,[Mg].CC(C)Br,CC(C)[Mg]Br,[Mg:4].[CH3:1][CH:2]([CH3:3])[Br:5]>>[CH3:1][CH:2]([CH3:3])[Mg:4][Br:5],无水乙醚,[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[CH;D3;+0:2]>>[Br;H0;D1;+0:1]-[CH;D3;+0:2].[Mg;H0;D0;+0:3],[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:5]-[CH;D3;+0:2](-[C;D1;H3:3])-[C;D1;H3:4]>>[Br;H0;D1;+0:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[C;D1;H3:4].[Mg;H0;D0;+0:5]
50,BrC1C=CCCC1.[Mg],Br[Mg]C1C=CCCC1,[Br:1][CH:3]1[CH:4]=[CH:5][CH2:6][CH2:7][CH2:8]1.[Mg:2]>>[Br:1][Mg:2][CH:3]1[CH:4]=[CH:5][CH2:6][CH2:7][CH2:8]1,,[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[CH;D3;+0:2]>>[Br;H0;D1;+0:1]-[CH;D3;+0:2].[Mg;H0;D0;+0:3],[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:6]-[CH;D3;+0:2](-[C:3])-[C:4]=[C:5]>>[Br;H0;D1;+0:1]-[CH;D3;+0:2](-[C:3])-[C:4]=[C:5].[Mg;H0;D0;+0:6]
51,[Mg].CCBr,CC[Mg]Br,[Mg:3].[CH3:1][CH2:2][Br:4]>>[CH3:1][CH2:2][Mg:3][Br:4],无水乙醚,[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:3]-[CH2;D2;+0:2]>>[Br;H0;D1;+0:1]-[CH2;D2;+0:2].[Mg;H0;D0;+0:3],[Br;H0;D1;+0:1]-[Mg;H0;D2;+0:4]-[CH2;D2;+0:2]-[C;D1;H3:3]>>[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[C;D1;H3:3].[Mg;H0;D0;+0:4]
